Bulevardul GHEORGHE MAGHERU,6÷8,Sector 1,1928,S+P+6E,0,2016,Gabriel NICULESCU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4413886,26.0999431",44.4413886,26.0999431
Strada GINA PATRICHI,5,Sector 1,1906,S+P+1E+Ma,4,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.44942,26.088991",44.44942,26.088991
Strada GINA PATRICHI,6A,Sector 1,1922,S+P+2E,8,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4495076,26.0895836",44.4495076,26.0895836
Soseaua GIURGIULUI,38 (corp A+B),Sector 4,1937,S+P+2E,8,1993,Cristian BALAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.3981059,26.0959218",44.3981059,26.0959218
Strada GRIGORE COBALCESCU,6,Sector 1,1903,S+P+3E,11,1994,Adina SIMION,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4376808,26.0874165",44.4376808,26.0874165
Strada GRIGORE COBALCESCU,16,Sector 1,1895,S+P+1E+Ma,2,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4379806,26.086281",44.4379806,26.086281
Strada GRIGORE COBALCESCU,27,Sector 1,1905,S+P+2E,7,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4380143,26.0854613",44.4380143,26.0854613
Strada GRIGORE COBALCESCU,30,Sector 1,1907,S+P+2E+Ma,3,2016,Armand NEFIAN,3.Clasa de risc seismic RsIII,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4386275,26.0843888",44.4386275,26.0843888
Strada GRIGORE COBALCESCU,38,Sector 1,1935,S+P+2E+Ma,8,1994,Emil COROIU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4389009,26.0838311",44.4389009,26.0838311
Strada GRIGORE COBALCESCU,41 (corp B),Sector 1,1929,S+P+4E,10,1995,Vladimir AMBROZIE,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4384866,26.0838476",44.4384866,26.0838476
Strada GRIGORE COBALCESCU,43A (corp B),Sector 1,1927,P+2E+M,6,1993,Armand NEFIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4386529,26.0836172",44.4386529,26.0836172
Strada GRIGORE COBALCESCU,51,Sector 1,1930,S+P+2E+Ma,4,1993,Ion LUNGU,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4389308,26.0827022",44.4389308,26.0827022
Calea GRIVITEI,33,Sector 1,1930,P+7E+Ma,24,1995,Alexandrina PRETORIAN,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4443923,26.0871074",44.4443923,26.0871074
Calea GRIVITEI,39,Sector 1,1940,S+P+6E,0,2014,Dan CAPATANA,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4443073,26.0865348",44.4443073,26.0865348
Calea GRIVITEI,107÷109 (corp A),Sector 1,1934,S+P+4E+Ma,24,1996,Stere CARACOTI,1 Clasa de risc seismic RsI,"https://maps.googleapis.com/maps/api/streetview?size=600x300&location=
44.4455508,26.0822793",44.4455508,26.0822793
